Name,Value
Item 14,6839434
Item 15,4546014
Item 16,1559655
Item 17,6443289
Item 18,193652
Item 19,8286890
Item 20,12291609
Item 21,3427815
Item 22,33449
Item 23,8036406
Item 24,6133638
Item 25,4305103
User,6
Gender,Male
AgeGroup,50+
Hobbies,Outdoors
Profession,Professor
Item 1,6839434
Item 2,12285424
Item 3,4546014
Item 4,7023946
Item 5,33449
Item 6,1690388
Item 7,3648305
Item 8,3918124
Item 9,8286890
Item 10,12291609
Item 11,11041854
Item 12,9532785
Item 13,11433316
Item 14,13644495
Item 15,10072787
Item 16,1559655
Item 17,6443289
Item 18,193652
Item 19,7136371
Item 20,124277
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,511016
User,7
Gender,Female
AgeGroup,50+
Hobbies,Outdoors
Profession,Professor
Item 1,6839434
Item 2,12285424
Item 3,4546014
Item 4,7023946
Item 5,33449
Item 6,1690388
Item 7,3648305
Item 8,3918124
Item 9,8286890
Item 10,12291609
Item 11,11041854
Item 12,9532785
Item 13,11433316
Item 14,13644495
Item 15,10072787
Item 16,1559655
Item 17,6443289
Item 18,193652
Item 19,7136371
Item 20,124277
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,511016
User,8
Gender,Female
AgeGroup,18-30
Hobbies,Indoors
Profession,Student
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,9
Gender,Female
AgeGroup,18-30
Hobbies,Outdoors
Profession,Student
Item 1,1559655
Item 2,6443289
Item 3,7669807
Item 4,9135603
Item 5,6324076
Item 6,11781190
Item 7,835683
Item 8,1021297
Item 9,7487418
Item 10,2045991
Item 11,4951277
Item 12,1758811
Item 13,2475239
Item 14,2275891
Item 15,3427815
Item 16,2596677
Item 17,1024587
Item 18,4116862
Item 19,5324390
Item 20,1293971
Item 21,3171362
Item 22,1163153
Item 23,11049346
Item 24,8036406
Item 25,6133638
User,10
Gender,Female
AgeGroup,18-30
Hobbies,Indoors
Profession,Student
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,11
Gender,Male
AgeGroup,30-50
Hobbies,Outdoors
Profession,IT Professional
Item 1,3078963
Item 2,9332217
Item 3,5700259
Item 4,4766309
Item 5,1615614
Item 6,6230399
Item 7,270032
Item 8,835683
Item 9,9216587
Item 10,1819387
Item 11,1910856
Item 12,2495446
Item 13,5657126
Item 14,884518
Item 15,13012773
Item 16,1559655
Item 17,6443289
Item 18,11041854
Item 19,33449
Item 20,1021297
Item 21,13544734
Item 22,10986404
Item 23,2671651
Item 24,6451873
Item 25,753152
User,12
Gender,Male
AgeGroup,50+
Hobbies,Outdoors
Profession,Professor
Item 1,2437142
Item 2,7424682
Item 3,5346428
Item 4,2518768
Item 5,3700753
Item 6,1021297
Item 7,6207373
Item 8,193652
Item 9,6956281
Item 10,831715
Item 11,3386165
Item 12,5944112
Item 13,511016
Item 14,8696863
Item 15,9710358
Item 16,1559655
Item 17,6443289
Item 18,12291609
Item 19,124277
Item 20,11041854
Item 21,33449
Item 22,9532785
Item 23,4983622
Item 24,6839434
Item 25,305478
User,13
Gender,Male
AgeGroup,18-30
Hobbies,Outdoors
Profession,Student
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,14
Gender,Male
AgeGroup,30-50
Hobbies,Indoors
Profession,IT Professional
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,15
Gender,Male
AgeGroup,50+
Hobbies,Indoors
Profession,Professor
Item 1,3332725
Item 2,13012773
Item 3,7658608
Item 4,6451873
Item 5,5359984
Item 6,1741540
Item 7,10659884
Item 8,8696863
Item 9,5346428
Item 10,1021297
Item 11,3386165
Item 12,10791419
Item 13,2437142
Item 14,4983622
Item 15,831715
Item 16,1559655
Item 17,6443289
Item 18,11041854
Item 19,124277
Item 20,33449
Item 21,3700753
Item 22,511016
Item 23,6839434
Item 24,6956281
Item 25,4215596
User,16
Gender,Female
AgeGroup,50+
Hobbies,Indoors
Profession,Professor
Item 1,10065428
Item 2,511016
Item 3,4546014
Item 4,12285424
Item 5,6839434
Item 6,1690388
Item 7,3648305
Item 8,3918124
Item 9,7023946
Item 10,12291609
Item 11,33449
Item 12,9532785
Item 13,11433316
Item 14,13644495
Item 15,10072787
Item 16,1559655
Item 17,6443289
Item 18,193652
Item 19,8286890
Item 20,124277
Item 21,3427815
Item 22,11041854
Item 23,8036406
Item 24,6133638
Item 25,4737648
User,17
Gender,Female
AgeGroup,18-30
Hobbies,Outdoors
Profession,Student
Item 1,7669807
Item 2,1559655
Item 3,6443289
Item 4,11781190
Item 5,6324076
Item 6,835683
Item 7,9135603
Item 8,1021297
Item 9,7487418
Item 10,2045991
Item 11,4951277
Item 12,6230399
Item 13,13218693
Item 14,2495446
Item 15,9332217
Item 16,6451873
Item 17,2599807
Item 18,9164087
Item 19,4924314
Item 20,1910856
Item 21,8351884
Item 22,13544734
Item 23,884518
Item 24,8403711
Item 25,1615614
User,18
Gender,Male
AgeGroup,30-50
Hobbies,Outdoors
Profession,IT Professional
Item 1,1559655
Item 2,6443289
Item 3,7669807
Item 4,3918124
Item 5,3411845
Item 6,2275891
Item 7,6896055
Item 8,6502910
Item 9,2596677
Item 10,1024587
Item 11,11388684
Item 12,4573768
Item 13,1758811
Item 14,4116862
Item 15,5324390
Item 16,1293971
Item 17,3171362
Item 18,1163153
Item 19,1629582
Item 20,892315
Item 21,2475239
Item 22,3427815
Item 23,11049346
Item 24,8036406
Item 25,6133638
User,19
Gender,Male
AgeGroup,30-50
Hobbies,Outdoors
Profession,IT Professional
Item 1,8403711
Item 2,7487418
Item 3,4951277
Item 4,7669807
Item 5,13218693
Item 6,8351884
Item 7,11781190
Item 8,1615614
Item 9,2599807
Item 10,4924314
Item 11,9164087
Item 12,2045991
Item 13,9332217
Item 14,2495446
Item 15,13544734
Item 16,1559655
Item 17,6443289
Item 18,6324076
Item 19,884518
Item 20,1021297
Item 21,835683
Item 22,6451873
Item 23,6230399
Item 24,1910856
Item 25,9135603
User,20
Gender,Male
AgeGroup,18-30
Hobbies,Indoors
Profession,Student
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,21
Gender,Male
AgeGroup,18-30
Hobbies,Indoors
Profession,Student
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,22
Gender,Male
AgeGroup,50+
Hobbies,Indoors
Profession,Professor
Item 1,7240753
Item 2,835683
Item 3,9216587
Item 4,5311947
Item 5,4082771
Item 6,7778720
Item 7,13544734
Item 8,33449
Item 9,1741540
Item 10,8232938
Item 11,1910856
Item 12,5521358
Item 13,10659884
Item 14,10791419
Item 15,10986404
Item 16,1559655
Item 17,6443289
Item 18,6451873
Item 19,11041854
Item 20,5346428
Item 21,13012773
Item 22,5698987
Item 23,2671651
Item 24,1021297
Item 25,4666481
User,23
Gender,Male
AgeGroup,30-50
Hobbies,Outdoors
Profession,IT Professional
Item 1,7807956
Item 2,6451873
Item 3,10791419
Item 4,5346428
Item 5,305478
Item 6,7424682
Item 7,2437142
Item 8,2518768
Item 9,11041854
Item 10,3700753
Item 11,3386165
Item 12,1021297
Item 13,8696863
Item 14,6207373
Item 15,6956281
Item 16,1559655
Item 17,6443289
Item 18,12291609
Item 19,124277
Item 20,33449
Item 21,831715
Item 22,4983622
Item 23,6839434
Item 24,511016
Item 25,5359984
User,24
Gender,Female
AgeGroup,50+
Hobbies,Indoors
Profession,Professor
Item 1,4737648
Item 2,10065428
Item 3,4546014
Item 4,511016
Item 5,6839434
Item 6,1690388
Item 7,3648305
Item 8,3918124
Item 9,7023946
Item 10,12291609
Item 11,33449
Item 12,9532785
Item 13,11433316
Item 14,13644495
Item 15,10072787
Item 16,1559655
Item 17,6443289
Item 18,193652
Item 19,8286890
Item 20,124277
Item 21,3427815
Item 22,11041854
Item 23,8036406
Item 24,6133638
Item 25,8696863
User,25
Gender,Female
AgeGroup,30-50
Hobbies,Indoors
Profession,IT Professional
Item 1,1006796
Item 2,1819387
Item 3,884518
Item 4,7240753
Item 5,4766309
Item 6,2271256
Item 7,11708663
Item 8,2671651
Item 9,9216587
Item 10,1910856
Item 11,835683
Item 12,8310025
Item 13,13012773
Item 14,5346428
Item 15,10659884
Item 16,1559655
Item 17,6443289
Item 18,33449
Item 19,11041854
Item 20,13544734
Item 21,5311947
Item 22,6451873
Item 23,10986404
Item 24,1021297
Item 25,270032
User,26
Gender,Female
AgeGroup,30-50
Hobbies,Indoors
Profession,IT Professional
Item 1,7778720
Item 2,835683
Item 3,4277052
Item 4,5521358
Item 5,9216587
Item 6,13544734
Item 7,10986404
Item 8,33449
Item 9,6451873
Item 10,13012773
Item 11,4082771
Item 12,5311947
Item 13,2671651
Item 14,8232938
Item 15,10659884
Item 16,1559655
Item 17,6443289
Item 18,5346428
Item 19,11041854
Item 20,1021297
Item 21,10791419
Item 22,1910856
Item 23,5698987
Item 24,1741540
Item 25,7876831
User,27
Gender,Male
AgeGroup,50+
Hobbies,Outdoors
Profession,Professor
Item 1,6839434
Item 2,12285424
Item 3,4546014
Item 4,7023946
Item 5,33449
Item 6,1690388
Item 7,3648305
Item 8,3918124
Item 9,8286890
Item 10,12291609
Item 11,11041854
Item 12,9532785
Item 13,11433316
Item 14,13644495
Item 15,10072787
Item 16,1559655
Item 17,6443289
Item 18,193652
Item 19,7136371
Item 20,124277
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,511016
User,28
Gender,Female
AgeGroup,50+
Hobbies,Indoors
Profession,Professor
Item 1,6839434
Item 2,12285424
Item 3,4546014
Item 4,7023946
Item 5,33449
Item 6,1690388
Item 7,3648305
Item 8,3918124
Item 9,8286890
Item 10,12291609
Item 11,11041854
Item 12,9532785
Item 13,11433316
Item 14,13644495
Item 15,10072787
Item 16,1559655
Item 17,6443289
Item 18,193652
Item 19,7136371
Item 20,124277
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,511016
User,29
Gender,Male
AgeGroup,30-50
Hobbies,Indoors
Profession,IT Professional
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,30
Gender,Male
AgeGroup,18-30
Hobbies,Indoors
Profession,Student
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,31
Gender,Female
AgeGroup,30-50
Hobbies,Indoors
Profession,IT Professional
Item 1,1741540
Item 2,5359984
Item 3,8163952
Item 4,6451873
Item 5,6207373
Item 6,7807956
Item 7,7424682
Item 8,4983622
Item 9,5346428
Item 10,1021297
Item 11,3700753
Item 12,10791419
Item 13,2437142
Item 14,6956281
Item 15,831715
Item 16,1559655
Item 17,6443289
Item 18,11041854
Item 19,124277
Item 20,33449
Item 21,511016
Item 22,3386165
Item 23,6839434
Item 24,8696863
Item 25,13012773
User,32
Gender,Male
AgeGroup,50+
Hobbies,Outdoors
Profession,Professor
Item 1,5359984
Item 2,6451873
Item 3,7807956
Item 4,7424682
Item 5,1021297
Item 6,10791419
Item 7,2437142
Item 8,2518768
Item 9,11041854
Item 10,3700753
Item 11,3386165
Item 12,5346428
Item 13,8696863
Item 14,6207373
Item 15,6956281
Item 16,1559655
Item 17,6443289
Item 18,12291609
Item 19,124277
Item 20,33449
Item 21,831715
Item 22,4983622
Item 23,6839434
Item 24,511016
Item 25,8163952
User,33
Gender,Female
AgeGroup,30-50
Hobbies,Indoors
Profession,IT Professional
Item 1,7669807
Item 2,1559655
Item 3,6443289
Item 4,11781190
Item 5,6324076
Item 6,835683
Item 7,9135603
Item 8,1021297
Item 9,7487418
Item 10,2045991
Item 11,4951277
Item 12,6230399
Item 13,13218693
Item 14,2495446
Item 15,9332217
Item 16,6451873
Item 17,2599807
Item 18,9164087
Item 19,4924314
Item 20,1910856
Item 21,8351884
Item 22,13544734
Item 23,884518
Item 24,8403711
Item 25,1615614
User,34
Gender,Female
AgeGroup,50+
Hobbies,Outdoors
Profession,Professor
Item 1,1741540
Item 2,8163952
Item 3,7807956
Item 4,5359984
Item 5,1021297
Item 6,10791419
Item 7,2437142
Item 8,6451873
Item 9,5346428
Item 10,3700753
Item 11,3386165
Item 12,7424682
Item 13,8696863
Item 14,6207373
Item 15,6956281
Item 16,1559655
Item 17,6443289
Item 18,11041854
Item 19,124277
Item 20,33449
Item 21,831715
Item 22,4983622
Item 23,6839434
Item 24,511016
Item 25,13012773
User,35
Gender,Male
AgeGroup,30-50
Hobbies,Indoors
Profession,IT Professional
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,36
Gender,Male
AgeGroup,30-50
Hobbies,Indoors
Profession,IT Professional
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,37
Gender,Female
AgeGroup,50+
Hobbies,Outdoors
Profession,Professor
Item 1,6839434
Item 2,12285424
Item 3,4546014
Item 4,7023946
Item 5,33449
Item 6,1690388
Item 7,3648305
Item 8,3918124
Item 9,8286890
Item 10,12291609
Item 11,11041854
Item 12,9532785
Item 13,11433316
Item 14,13644495
Item 15,10072787
Item 16,1559655
Item 17,6443289
Item 18,193652
Item 19,7136371
Item 20,124277
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,511016
User,38
Gender,Female
AgeGroup,50+
Hobbies,Indoors
Profession,Professor
Item 1,6839434
Item 2,12285424
Item 3,4546014
Item 4,7023946
Item 5,33449
Item 6,1690388
Item 7,3648305
Item 8,3918124
Item 9,8286890
Item 10,12291609
Item 11,11041854
Item 12,9532785
Item 13,11433316
Item 14,13644495
Item 15,10072787
Item 16,1559655
Item 17,6443289
Item 18,193652
Item 19,7136371
Item 20,124277
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,511016
User,39
Gender,Female
AgeGroup,18-30
Hobbies,Outdoors
Profession,Student
Item 1,7669807
Item 2,13218693
Item 3,2045991
Item 4,2495446
Item 5,6324076
Item 6,1559655
Item 7,6443289
Item 8,4951277
Item 9,1021297
Item 10,6230399
Item 11,9332217
Item 12,7487418
Item 13,11781190
Item 14,835683
Item 15,9135603
Item 16,6451873
Item 17,2599807
Item 18,9164087
Item 19,4924314
Item 20,1910856
Item 21,8351884
Item 22,13544734
Item 23,884518
Item 24,8403711
Item 25,1615614
User,40
Gender,Female
AgeGroup,18-30
Hobbies,Outdoors
Profession,Student
Item 1,1559655
Item 2,6443289
Item 3,7669807
Item 4,9135603
Item 5,6324076
Item 6,11781190
Item 7,835683
Item 8,1021297
Item 9,7487418
Item 10,2045991
Item 11,4951277
Item 12,1758811
Item 13,2475239
Item 14,2275891
Item 15,3427815
Item 16,2596677
Item 17,1024587
Item 18,4116862
Item 19,5324390
Item 20,1293971
Item 21,3171362
Item 22,1163153
Item 23,11049346
Item 24,8036406
Item 25,6133638
User,41
Gender,Male
AgeGroup,50+
Hobbies,Outdoors
Profession,Professor
Item 1,305478
Item 2,2437142
Item 3,7424682
Item 4,3700753
Item 5,5346428
Item 6,1021297
Item 7,9710358
Item 8,193652
Item 9,2518768
Item 10,6956281
Item 11,3386165
Item 12,6207373
Item 13,6839434
Item 14,831715
Item 15,8696863
Item 16,1559655
Item 17,6443289
Item 18,12291609
Item 19,124277
Item 20,11041854
Item 21,33449
Item 22,9532785
Item 23,4983622
Item 24,511016
Item 25,10791419
User,42
Gender,Female
AgeGroup,18-30
Hobbies,Outdoors
Profession,Student
Item 1,1559655
Item 2,6443289
Item 3,7669807
Item 4,9135603
Item 5,6324076
Item 6,11781190
Item 7,11388684
Item 8,4573768
Item 9,2275891
Item 10,1629582
Item 11,6502910
Item 12,2596677
Item 13,1024587
Item 14,892315
Item 15,1758811
Item 16,4116862
Item 17,5324390
Item 18,1293971
Item 19,3171362
Item 20,1163153
Item 21,2475239
Item 22,3427815
Item 23,11049346
Item 24,8036406
Item 25,6133638
User,43
Gender,Female
AgeGroup,50+
Hobbies,Indoors
Profession,Professor
Item 1,11150622
Item 2,2082415
Item 3,3811042
Item 4,4546014
Item 5,6839434
Item 6,8696863
Item 7,1690388
Item 8,511016
Item 9,7023946
Item 10,12291609
Item 11,33449
Item 12,4737648
Item 13,11433316
Item 14,9532785
Item 15,10072787
Item 16,1559655
Item 17,6443289
Item 18,193652
Item 19,8286890
Item 20,124277
Item 21,3427815
Item 22,11041854
Item 23,8036406
Item 24,6133638
Item 25,6956281
User,44
Gender,Male
AgeGroup,18-30
Hobbies,Indoors
Profession,Student
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,45
Gender,Female
AgeGroup,50+
Hobbies,Outdoors
Profession,Professor
Item 1,6839434
Item 2,12285424
Item 3,4546014
Item 4,7023946
Item 5,33449
Item 6,1690388
Item 7,3648305
Item 8,3918124
Item 9,8286890
Item 10,12291609
Item 11,11041854
Item 12,9532785
Item 13,11433316
Item 14,13644495
Item 15,10072787
Item 16,1559655
Item 17,6443289
Item 18,193652
Item 19,7136371
Item 20,124277
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,511016
User,46
Gender,Male
AgeGroup,18-30
Hobbies,Indoors
Profession,Student
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,47
Gender,Male
AgeGroup,30-50
Hobbies,Indoors
Profession,IT Professional
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,48
Gender,Female
AgeGroup,30-50
Hobbies,Indoors
Profession,IT Professional
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,49
Gender,Male
AgeGroup,30-50
Hobbies,Indoors
Profession,IT Professional
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,50
Gender,Female
AgeGroup,30-50
Hobbies,Outdoors
Profession,IT Professional
Item 1,3386165
Item 2,1816056
Item 3,831715
Item 4,2518768
Item 5,4983622
Item 6,5944112
Item 7,4737648
Item 8,124277
Item 9,1690388
Item 10,6956281
Item 11,11433316
Item 12,11150622
Item 13,8696863
Item 14,6839434
Item 15,511016
Item 16,1559655
Item 17,6443289
Item 18,193652
Item 19,8286890
Item 20,12291609
Item 21,11041854
Item 22,33449
Item 23,9532785
Item 24,3811042
Item 25,3700753
User,51
Gender,Female
AgeGroup,50+
Hobbies,Outdoors
Profession,Professor
Item 1,6839434
Item 2,12285424
Item 3,4546014
Item 4,7023946
Item 5,33449
Item 6,1690388
Item 7,3648305
Item 8,3918124
Item 9,8286890
Item 10,12291609
Item 11,11041854
Item 12,9532785
Item 13,11433316
Item 14,13644495
Item 15,10072787
Item 16,1559655
Item 17,6443289
Item 18,193652
Item 19,7136371
Item 20,124277
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,511016
User,52
Gender,Female
AgeGroup,50+
Hobbies,Outdoors
Profession,Professor
Item 1,6839434
Item 2,12285424
Item 3,4546014
Item 4,7023946
Item 5,33449
Item 6,1690388
Item 7,3648305
Item 8,3918124
Item 9,8286890
Item 10,12291609
Item 11,11041854
Item 12,9532785
Item 13,11433316
Item 14,13644495
Item 15,10072787
Item 16,1559655
Item 17,6443289
Item 18,193652
Item 19,7136371
Item 20,124277
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,511016
User,53
Gender,Male
AgeGroup,30-50
Hobbies,Indoors
Profession,IT Professional
Item 1,1559655
Item 2,6443289
Item 3,7669807
Item 4,3918124
Item 5,3411845
Item 6,2275891
Item 7,6896055
Item 8,6502910
Item 9,2596677
Item 10,1024587
Item 11,11388684
Item 12,4573768
Item 13,1758811
Item 14,4116862
Item 15,5324390
Item 16,1293971
Item 17,3171362
Item 18,1163153
Item 19,1629582
Item 20,892315
Item 21,2475239
Item 22,3427815
Item 23,11049346
Item 24,8036406
