Userid,Gender,AgeGroup,Hobbies,Profession,Seasons,Listing ID,CountOfListingID,AgeGroup18-30_weight,AgeGroup30-50_Weight,AgeGroup50+_weight,Seasons_Summer_weight,Seasons_Winter_weight,Seasons_Spring_weight,Seasons_Fall_weight,Profession_IT_Professional_weight,Profession_Professor_weight,Profession_Student_weight,Profession_Contractor_weight,Hobbies_Indoor_weight,Hobbies_outdoor_weight,Room_type,Street,house_rules,Price_per_day,amenities,property_type,review_score
11,Male,30-50,Outdoors,IT Professional,Fall,1701332,9,0.444444444444444,0.444444444444444,0.111111111111111,0.111111111111111,0.222222222222222,0.444444444444444,0.222222222222222,0.222222222222222,0.222222222222222,0.444444444444444,0.111111111111111,0.444444444444444,0.555555555555556,Private room,"Wilmersdorfer Stra'Ùe, Berlin, Berlin 10585, Germany",,120,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Wheelchair Accessible"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",Apartment,9
12,Male,50+,Outdoors,Professor,Spring,4423099,9,0.444444444444444,0.222222222222222,0.333333333333333,0.333333333333333,0.222222222222222,0.222222222222222,0.222222222222222,0.111111111111111,0.333333333333333,0.444444444444444,0.111111111111111,0.444444444444444,0.555555555555556,Entire home/apt,"Cauerstra'Ùe, Berlin, Charlottenburg, Berlin 10587, Germany",,60,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Essentials}",Apartment,10
13,Male,18-30,Outdoors,Student,Fall,3346581,11,0.727272727272727,0.272727272727273,0,0.181818181818182,9.09090909090909e-002,0.363636363636364,0.363636363636364,0.363636363636364,0.181818181818182,0.454545454545455,0,0.454545454545455,0.545454545454545,Private room,"Crellestra'Ùe, Berlin, Berlin 10827, Germany",,37,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Essentials,Shampoo}",Apartment,9
14,Male,30-50,Indoors,IT Professional,Spring,2404190,11,0.454545454545455,0.181818181818182,0.363636363636364,0.363636363636364,9.09090909090909e-002,0.454545454545455,9.09090909090909e-002,0.363636363636364,9.09090909090909e-002,0.272727272727273,0.272727272727273,0.727272727272727,0.272727272727273,Entire home/apt,"Leuthener Stra'Ùe, Berlin, Berlin 10829, Germany",,60,"{Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,""Smoke Detector""}",Apartment,9
15,Male,50+,Indoors,Professor,Spring,1230963,5,0.4,0.2,0.4,0.2,0,0.6,0.2,0.2,0.4,0.4,0,0.6,0.4,Shared room,"Navajo Street, Denver, CO 80204, United States","HOUSE RULES  Most importantly, we expect you to make yourselves at home and enjoy your stay!  We have very good relations to our neighbors and noise is not a problem in general. You can listen to music and your kids can play around without having to worr",33,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Hair Dryer"",Iron}",Apartment,10
16,Female,50+,Indoors,Professor,Winter,192499,11,0.363636363636364,0.454545454545455,0.181818181818182,0.363636363636364,0.363636363636364,0.272727272727273,0,0.272727272727273,0.363636363636364,0.181818181818182,0.181818181818182,0.818181818181818,0.181818181818182,Private room,"Martin-Luther-Stra'Ùe, Berlin, Berlin 10825, Germany",,35,"{Internet,""Wireless Internet"",""Pets Allowed"",Heating,""Fire Extinguisher"",Shampoo}",Other,10
17,Female,18-30,Outdoors,Student,Fall,1073990,11,0.636363636363636,0.181818181818182,0.181818181818182,0.181818181818182,0.272727272727273,9.09090909090909e-002,0.454545454545455,0.272727272727273,9.09090909090909e-002,0.363636363636364,0.272727272727273,0.636363636363636,0.363636363636364,Private room,"Eisenacher Stra'Ùe, Berlin, Berlin 10823, Germany",,50,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,""First Aid Kit"",""Safety Card"",Essentials,Shampoo}",Apartment,8
18,Male,30-50,Outdoors,IT Professional,Summer,1160233,5,0.2,0.4,0.4,0.6,0.2,0.2,0,0.4,0.4,0.2,0,0.6,0.4,Entire home/apt,"Dialeon, Athina, Gazi 118 54, Greece",,64,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Pool,Kitchen,""Free Parking on Premises"",Gym,Breakfast,""Elevator in Building"",""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dr",Apartment,9
19,Male,30-50,Outdoors,IT Professional,Winter,1114531,11,0.545454545454545,0.272727272727273,0.181818181818182,0.181818181818182,0.363636363636364,0.181818181818182,0.272727272727273,0.363636363636364,0.181818181818182,0.363636363636364,9.09090909090909e-002,0.454545454545455,0.545454545454545,Private room,"Terrace Street, Roxbury Crossing, MA 02120, United States",,105,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,Washer}",Apartment,9
20,Male,18-30,Indoors,Student,Spring,3022976,11,0.636363636363636,9.09090909090909e-002,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,0.181818181818182,0.454545454545455,0,0.363636363636364,0.181818181818182,0.727272727272727,0.272727272727273,Entire home/apt,"Fort Hill, Boston, MA 02119, United States",,99,"{Internet,""Wireless Internet"",Kitchen,""Smoking Allowed"",""Pets Allowed"",""Pets live on this property"",Dog(s),""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Essentials}",Apartment,9
21,Male,18-30,Indoors,Student,Summer,1230963,5,0.4,0.2,0.4,0.2,0,0.6,0.2,0.2,0.4,0.4,0,0.6,0.4,Shared room,"Navajo Street, Denver, CO 80204, United States","HOUSE RULES  Most importantly, we expect you to make yourselves at home and enjoy your stay!  We have very good relations to our neighbors and noise is not a problem in general. You can listen to music and your kids can play around without having to worr",33,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Hair Dryer"",Iron}",Apartment,10
22,Male,50+,Indoors,Professor,Winter,2437142,11,0.272727272727273,0.545454545454545,0.181818181818182,0.181818181818182,0.363636363636364,0.181818181818182,0.272727272727273,0.363636363636364,0.363636363636364,0.181818181818182,9.09090909090909e-002,0.727272727272727,0.272727272727273,Entire home/apt,"Tremont Street, Boston, MA 02118, United States",,167,"{Internet,""Wireless Internet"",Kitchen,""Smoking Allowed"",Breakfast,""Elevator in Building"",Heating,Washer,Essentials,Shampoo}",Apartment,9
23,Male,30-50,Outdoors,IT Professional,Spring,1102061,11,0.363636363636364,0.363636363636364,0.272727272727273,0.545454545454545,0.181818181818182,0.181818181818182,9.09090909090909e-002,0.363636363636364,0.181818181818182,0.272727272727273,0.181818181818182,0.454545454545455,0.545454545454545,Private room,"Alvah Kittredge Park, Boston, MA 02119, United States",,66,"{""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer}",Apartment,9
24,Female,50+,Indoors,Professor,Summer,1160233,5,0.2,0.4,0.4,0.6,0.2,0.2,0,0.4,0.4,0.2,0,0.6,0.4,Entire home/apt,"Dialeon, Athina, Gazi 118 54, Greece",,64,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Pool,Kitchen,""Free Parking on Premises"",Gym,Breakfast,""Elevator in Building"",""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dr",Apartment,9
25,Female,30-50,Indoors,IT Professional,Fall,1701332,9,0.444444444444444,0.444444444444444,0.111111111111111,0.111111111111111,0.222222222222222,0.444444444444444,0.222222222222222,0.222222222222222,0.222222222222222,0.444444444444444,0.111111111111111,0.444444444444444,0.555555555555556,Private room,"Wilmersdorfer Stra'Ùe, Berlin, Berlin 10585, Germany",,120,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Wheelchair Accessible"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",Apartment,9
26,Female,30-50,Indoors,IT Professional,Winter,4091388,11,0.272727272727273,0.363636363636364,0.363636363636364,0.363636363636364,0.272727272727273,0.181818181818182,0.181818181818182,0.363636363636364,0.272727272727273,0.181818181818182,0.181818181818182,0.727272727272727,0.272727272727273,Private room,"Logan Street, Boston, MA 02119, United States",,89,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,""First Aid Kit""}",Apartment,9
27,Male,50+,Outdoors,Professor,Winter,4740924,11,0.454545454545455,9.09090909090909e-002,0.454545454545455,9.09090909090909e-002,0.363636363636364,0.272727272727273,0.272727272727273,0.181818181818182,0.363636363636364,0.272727272727273,0.181818181818182,0.363636363636364,0.636363636363636,Private room,"Hammond Street, Boston, MA 02120, United States",,132,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,""First Aid Kit"",Essentials,Shampoo}",Apartment,7
28,Female,50+,Indoors,Professor,Spring,2159234,4,0.25,0,0.75,0,0.25,0.75,0,0,0.75,0.25,0,0.75,0.25,Private room,"Dannebrogsgade, Copenhagen, Capital Region of Denmark 1660, Denmark",Absolutely NO smoking - anywhere in the apartment (that includes the balcony)!,317,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",House,10
29,Male,30-50,Indoors,IT Professional,Spring,4215596,11,0.363636363636364,0.454545454545455,0.181818181818182,0.181818181818182,0.181818181818182,0.272727272727273,0.363636363636364,0.181818181818182,0.181818181818182,0.363636363636364,0.272727272727273,0.454545454545455,0.545454545454545,Private room,"Roxbury St, Boston, MA 02119, United States",,99,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Wheelchair Accessible"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Essentials,Shampoo}",Apartment,10
30,Male,18-30,Indoors,Student,Summer,1160233,5,0.2,0.4,0.4,0.6,0.2,0.2,0,0.4,0.4,0.2,0,0.6,0.4,Entire home/apt,"Dialeon, Athina, Gazi 118 54, Greece",,64,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Pool,Kitchen,""Free Parking on Premises"",Gym,Breakfast,""Elevator in Building"",""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dr",Apartment,9
31,Female,30-50,Indoors,IT Professional,Winter,11140684,4,0.75,0.25,0,0,0.75,0.25,0,0.25,0,0.75,0,0.75,0.25,Private room,"Haderslevgade, K'Ÿbenhavn, 1671, Denmark","Vi har vist ikke nogle s'_rlige krav til hvorledes man opf'Ÿrer sig her i huset, ud over, at vi 'Ÿnsker at I behandler os, som I gerne selv vil behandles. Dette inkluderer f.ex. at man g'«r lidt stille med d'Ÿrene, hvis man kommer sent hjem om natten. So",382,"{Internet,""Wireless Internet"",Kitchen,""Pets live on this property"",Dog(s),Cat(s),""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron}",Apartment,10
32,Male,50+,Outdoors,Professor,Winter,2892566,5,0,0.4,0.6,0,0.8,0.2,0,0.4,0.4,0,0.2,0.4,0.6,Entire home/apt,"Albert Place East, Lower Grand Street, Dublin, Dublin 2, Ireland",,120,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",""Smoke Detector"",Essentials,Iron,""Laptop Friendly Workspace""}",Apartment,10
33,Female,30-50,Indoors,IT Professional,Summer,4481723,11,0.272727272727273,0.272727272727273,0.454545454545455,0.454545454545455,0,0.272727272727273,0.272727272727273,0.454545454545455,9.09090909090909e-002,9.09090909090909e-002,0.363636363636364,0.636363636363636,0.363636363636364,Entire home/apt,"Centre Street, Boston, MA 02119, United States",,225,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Wheelchair Accessible"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer}",Apartment,
34,Female,50+,Outdoors,Professor,Fall,1230963,5,0.4,0.2,0.4,0.2,0,0.6,0.2,0.2,0.4,0.4,0,0.6,0.4,Shared room,"Navajo Street, Denver, CO 80204, United States","HOUSE RULES  Most importantly, we expect you to make yourselves at home and enjoy your stay!  We have very good relations to our neighbors and noise is not a problem in general. You can listen to music and your kids can play around without having to worr",33,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Hair Dryer"",Iron}",Apartment,10
35,Male,30-50,Indoors,IT Professional,Winter,10659884,10,0.5,0.3,0.2,0.2,0.3,0.2,0.3,0.3,0.1,0.5,0.1,0.7,0.3,Entire home/apt,"Dancy Street, Austin, TX 78722, United States",,125,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Ho",Bungalow,9
36,Male,30-50,Indoors,IT Professional,Fall,12051867,10,0.5,0.3,0.2,0.1,0.3,0.3,0.3,0.3,0.1,0.5,0.1,0.8,0.2,Entire home/apt,"Poquito Street, Austin, TX 78702, United States",,100,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,Hangers,Iron,""Laptop Friendly Workspace""}",House,10
37,Female,50+,Outdoors,Professor,Winter,1160233,5,0.2,0.4,0.4,0.6,0.2,0.2,0,0.4,0.4,0.2,0,0.6,0.4,Entire home/apt,"Dialeon, Athina, Gazi 118 54, Greece",,64,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Pool,Kitchen,""Free Parking on Premises"",Gym,Breakfast,""Elevator in Building"",""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dr",Apartment,9
38,Female,50+,Indoors,Professor,Fall,1398797,11,0.545454545454545,0.272727272727273,0.181818181818182,0.272727272727273,0.181818181818182,9.09090909090909e-002,0.454545454545455,0.181818181818182,0.363636363636364,0.363636363636364,9.09090909090909e-002,0.545454545454545,0.454545454545455,Entire home/apt,"Columbus Ave, South End, Boston, MA 02118, United States",,305,"{TV,Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating}",Apartment,9
39,Female,18-30,Outdoors,Student,Fall,2029340,11,0.545454545454545,0.363636363636364,9.09090909090909e-002,0.272727272727273,0.181818181818182,9.09090909090909e-002,0.454545454545455,0.181818181818182,0.181818181818182,0.454545454545455,0.181818181818182,0.454545454545455,0.545454545454545,Private room,"Moreland Street, Boston, MA 02119, United States",,79,"{Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer}",Apartment,9
40,Female,18-30,Outdoors,Student,Fall,4475744,3,0.666666666666667,0.333333333333333,0,0,0,0,1,0.333333333333333,0,0.666666666666667,0,0.333333333333333,0.666666666666667,Private room,"E 46th Ave, Denver, CO 80249, United States",Non smoking,32,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,Washer,Essentials,Shampoo,Iron,""Laptop Friendly Workspace""}",Apartment,10
41,Male,50+,Outdoors,Professor,Summer,4525533,11,0.181818181818182,0.363636363636364,0.454545454545455,0.181818181818182,0.363636363636364,0.181818181818182,0.272727272727273,0.181818181818182,0.454545454545455,9.09090909090909e-002,0.272727272727273,0.454545454545455,0.545454545454545,Private room,"Kearsarge Avenue, Boston, MA 02119, United States",,59,"{Internet,""Wireless Internet"",Kitchen,Heating}",Apartment,7
42,Female,18-30,Outdoors,Student,Fall,10659884,10,0.5,0.3,0.2,0.2,0.3,0.2,0.3,0.3,0.1,0.5,0.1,0.7,0.3,Entire home/apt,"Dancy Street, Austin, TX 78722, United States",,125,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Ho",Bungalow,9
43,Female,50+,Indoors,Professor,Fall,12051867,10,0.5,0.3,0.2,0.1,0.3,0.3,0.3,0.3,0.1,0.5,0.1,0.8,0.2,Entire home/apt,"Poquito Street, Austin, TX 78702, United States",,100,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,Hangers,Iron,""Laptop Friendly Workspace""}",House,10
44,Male,18-30,Indoors,Student,Winter,254762,9,0.444444444444444,0.222222222222222,0.333333333333333,0.111111111111111,0.333333333333333,0.222222222222222,0.333333333333333,0.111111111111111,0.111111111111111,0.444444444444444,0.333333333333333,0.333333333333333,0.666666666666667,Entire home/apt,"Katharinenstra'Ùe, Berlin, Berlin 10711, Germany",,90,"{Internet,""Wireless Internet"",Kitchen,""Smoking Allowed"",""Pets Allowed"",""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/Kid Friendly"",Essentials}",Apartment,9
45,Female,50+,Outdoors,Professor,Fall,1034433,9,0.333333333333333,0.222222222222222,0.444444444444444,0.222222222222222,0.222222222222222,0.444444444444444,0.111111111111111,0.111111111111111,0.222222222222222,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,Private room,"Friedbergstra'Ùe, Berlin, Berlin 14057, Germany",,50,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,Washer,Essentials,Shampoo}",Apartment,10
46,Male,18-30,Indoors,Student,Winter,1092125,11,0.181818181818182,0.545454545454545,0.272727272727273,0.181818181818182,0.454545454545455,0.272727272727273,9.09090909090909e-002,0.181818181818182,9.09090909090909e-002,0.181818181818182,0.545454545454545,0.636363636363636,0.363636363636364,Private room,"Centre Place, Boston, MA 02119, United States",,145,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Smoking Allowed"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,Essentials}",Apartment,9
47,Male,30-50,Indoors,IT Professional,Winter,196215,11,9.09090909090909e-002,0.545454545454545,0.363636363636364,0.181818181818182,0.454545454545455,0.181818181818182,0.181818181818182,0.272727272727273,0.363636363636364,9.09090909090909e-002,0.272727272727273,0.636363636363636,0.363636363636364,Private room,"Moreland street, Boston, MA 02119, United States",,60,"{TV,Internet,""Wireless Internet"",""Wheelchair Accessible"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo}",Apartment,10
48,Female,30-50,Indoors,IT Professional,Summer,7301846,2,0,1,0,0.5,0,0.5,0,1,0,0,0,1,0,Private room,"West Maple Avenue, Denver, CO 80223, United States","Our guest should feel relaxed and at home therefore, we expect our guests to treat our home the same way as their own. We have great neighbours and ask our guest to respect standard/common house rules such as no loud music late evening/night, no litter i",69,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Essentials,Shampoo,""Hair Dryer"",Iron}",Apartment,10
49,Male,30-50,Indoors,IT Professional,Winter,194465,11,0.181818181818182,0.636363636363636,0.181818181818182,0.454545454545455,0.181818181818182,0.181818181818182,0.181818181818182,0.363636363636364,0.363636363636364,9.09090909090909e-002,0.181818181818182,0.363636363636364,0.636363636363636,Entire home/apt,"Union Park, Boston, MA 02118, United States",,800,"{TV,Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Essentials,Shampoo}",Apartment,9
50,Female,30-50,Outdoors,IT Professional,Summer,1244835,11,0.181818181818182,0.363636363636364,0.454545454545455,0.181818181818182,0.272727272727273,0.454545454545455,9.09090909090909e-002,0.363636363636364,0.363636363636364,0,0.272727272727273,0.363636363636364,0.636363636363636,Entire home/apt,"E Concord St, Boston, MA 02118, United States",,215,"{Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer}",Apartment,10
