UserId,Gender,AgeGroup,Hobbies,Profession,Seasons,ListingId,PricePerDay,ReviewScore
94,Male,50+,Indoors,Professor,Spring,11582984,25,
95,Female,18-30,Outdoors,Student,Fall,10389111,80,
96,Female,50+,Outdoors,Professor,Fall,11973001,65,
97,Male,30-50,Outdoors,IT Professional,Summer,5943527,20,9
98,Male,18-30,Outdoors,Student,Fall,11642937,90,10
99,Female,18-30,Indoors,Student,Winter,3414629,90,
100,Female,18-30,Outdoors,Student,Fall,10986404,100,
101,Male,18-30,Indoors,Student,Winter,11049346,120,9
102,Male,18-30,Indoors,Student,Summer,11571866,75,10
103,Female,30-50,Indoors,IT Professional,Fall,11570849,84,9
104,Female,50+,Outdoors,Contractor,Winter,11243234,18,10
105,Male,18-30,Outdoors,Student,Summer,1145599,35,9
106,Female,18-30,Outdoors,Student,Summer,11699555,60,10
107,Female,18-30,Outdoors,Student,Spring,12981626,550,8
108,Female,30-50,Outdoors,IT Professional,Spring,12981626,550,8
109,Male,30-50,Indoors,IT Professional,Spring,10659884,125,9
110,Male,50+,Indoors,Contractor,Spring,12051867,100,10
111,Male,50+,Indoors,Contractor,Fall,2499376,85,10
112,Male,30-50,Indoors,IT Professional,Fall,1138151,150,10
113,Male,50+,Outdoors,Contractor,Fall,1073990,50,8
114,Female,30-50,Outdoors,IT Professional,Spring,2892566,120,10
115,Male,30-50,Indoors,IT Professional,Fall,1293971,140,9
116,Female,30-50,Indoors,IT Professional,Spring,7301846,69,10
117,Male,50+,Outdoors,Contractor,Fall,2341208,150,10
118,Male,50+,Outdoors,Contractor,Winter,2892566,120,10
119,Female,30-50,Outdoors,IT Professional,Summer,10659884,125,9
120,Male,18-30,Indoors,Student,Winter,12051867,100,10
121,Male,50+,Outdoors,Contractor,Fall,10659884,125,9
122,Male,18-30,Outdoors,Student,Spring,12051867,100,10
123,Female,30-50,Indoors,IT Professional,Winter,1138151,150,10
124,Female,30-50,Indoors,IT Professional,Winter,3904895,180,9
125,Female,18-30,Indoors,Student,Fall,1675786,70,9
126,Female,18-30,Indoors,Student,Winter,102228,120,9
127,Female,30-50,Indoors,IT Professional,Winter,2692691,905,
128,Female,18-30,Outdoors,Student,Winter,13506014,858,8
129,Male,18-30,Indoors,Student,Fall,11539034,503,10
130,Male,18-30,Indoors,Student,Winter,1701332,120,9
131,Female,50+,Indoors,Contractor,Spring,2388919,25,10
132,Male,50+,Outdoors,Contractor,Winter,5324378,100,10
133,Female,18-30,Outdoors,Student,Summer,5245575,110,10
134,Female,50+,Outdoors,Contractor,Spring,1227978,90,9
135,Male,50+,Outdoors,Contractor,Summer,10936677,40,9
136,Female,18-30,Outdoors,Student,Fall,10085052,79,10
137,Female,18-30,Indoors,Student,Summer,1014634,80,
138,Female,50+,Indoors,Contractor,Fall,10036320,430,
139,Male,18-30,Outdoors,Student,Spring,1039388,110,10
140,Male,50+,Outdoors,Contractor,Summer,11261688,40,
141,Male,50+,Indoors,Contractor,Summer,10995958,78,
142,Female,50+,Indoors,Contractor,Summer,3124475,30,10
143,Female,50+,Indoors,Contractor,Summer,10206186,270,10
144,Male,30-50,Outdoors,IT Professional,Winter,10730279,30,10
145,Male,30-50,Outdoors,IT Professional,Spring,11582984,25,
146,Male,50+,Indoors,Contractor,Spring,10389111,80,
147,Female,30-50,Outdoors,IT Professional,Summer,11973001,65,
148,Female,30-50,Indoors,IT Professional,Spring,5943527,20,9
149,Female,50+,Outdoors,Contractor,Summer,11642937,90,10
150,Female,18-30,Indoors,Student,Winter,3414629,90,
151,Female,30-50,Outdoors,IT Professional,Fall,10986404,100,
152,Male,30-50,Indoors,IT Professional,Summer,11049346,120,9
153,Male,30-50,Outdoors,IT Professional,Spring,11571866,75,10
154,Female,18-30,Outdoors,Student,Winter,11570849,84,9
155,Male,18-30,Indoors,Student,Fall,11243234,18,10
156,Male,30-50,Outdoors,IT Professional,Winter,1145599,35,9
157,Male,30-50,Indoors,IT Professional,Winter,11699555,60,10
158,Female,18-30,Outdoors,Student,Fall,2499376,85,10
159,Male,50+,Indoors,Contractor,Fall,1138151,150,10
160,Female,30-50,Indoors,IT Professional,Fall,3022976,99,9
161,Male,18-30,Indoors,Student,Spring,3378411,195,10
162,Male,18-30,Indoors,Student,Spring,1632187,143,9
163,Female,50+,Outdoors,Contractor,Summer,1102061,66,9
164,Female,18-30,Outdoors,Student,Winter,4740924,132,7
165,Female,30-50,Outdoors,IT Professional,Winter,4215596,99,10
166,Male,50+,Outdoors,Contractor,Summer,2692691,905,
167,Male,50+,Outdoors,Contractor,Winter,13506014,858,8
168,Female,30-50,Outdoors,IT Professional,Spring,11539034,503,10
169,Female,50+,Indoors,Contractor,Summer,10085052,79,10
170,Male,30-50,Outdoors,IT Professional,Fall,1014634,80,
171,Female,50+,Outdoors,Contractor,Spring,10036320,430,
172,Male,50+,Indoors,Contractor,Winter,1039388,110,10
173,Male,18-30,Outdoors,Student,Fall,11261688,40,
174,Female,18-30,Outdoors,Student,Spring,10995958,78,
175,Female,50+,Outdoors,Contractor,Spring,3124475,30,10
176,Female,18-30,Indoors,Student,Summer,10206186,270,10
177,Male,30-50,Indoors,IT Professional,Summer,10730279,30,10
178,Female,50+,Indoors,Contractor,Fall,11582984,25,
179,Female,50+,Outdoors,Contractor,Spring,10389111,80,
180,Female,18-30,Indoors,Student,Summer,11973001,65,
181,Female,50+,Outdoors,Contractor,Summer,5943527,20,9
182,Female,18-30,Indoors,Student,Spring,11642937,90,10
183,Male,50+,Indoors,Contractor,Fall,3414629,90,
184,Male,30-50,Outdoors,IT Professional,Spring,10986404,100,
185,Female,50+,Outdoors,Contractor,Spring,11049346,120,9
186,Male,50+,Outdoors,Contractor,Spring,11571866,75,10
187,Male,18-30,Outdoors,Student,Fall,11570849,84,9
188,Female,50+,Indoors,Contractor,Summer,11243234,18,10
189,Male,50+,Outdoors,Contractor,Summer,1145599,35,9
190,Female,30-50,Outdoors,IT Professional,Summer,11699555,60,10
191,Male,50+,Outdoors,Contractor,Spring,2499376,85,10
192,Female,18-30,Outdoors,Student,Fall,1138151,150,10
193,Male,30-50,Indoors,IT Professional,Winter,1275837,300,9
194,Female,50+,Indoors,Contractor,Fall,1176341,79,10
195,Female,30-50,Indoors,IT Professional,Summer,245781,225,9
196,Male,18-30,Indoors,Student,Winter,1398797,305,9
197,Male,18-30,Indoors,Student,Fall,2153061,450,9
198,Male,18-30,Indoors,Student,Winter,2404190,60,9
199,Female,30-50,Outdoors,IT Professional,Winter,192499,35,10
200,Female,18-30,Indoors,Student,Fall,1073990,50,8
201,Male,50+,Indoors,Contractor,Fall,5856064,140,9
202,Female,50+,Indoors,Contractor,Spring,1295565,154,8
203,Male,18-30,Indoors,Student,Winter,1701332,120,9
204,Male,18-30,Indoors,Student,Fall,2388919,25,10
205,Male,30-50,Indoors,Professor,Fall,3439486,45,8
206,Male,18-30,Outdoors,Student,Summer,1034433,50,10
207,Female,50+,Indoors,Contractor,Summer,1092125,145,9
208,Female,50+,Indoors,Contractor,Summer,196215,60,10
209,Male,30-50,Outdoors,Professor,Winter,1244835,215,10
210,Female,18-30,Outdoors,Student,Summer,1862589,220,
211,Female,50+,Outdoors,Contractor,Winter,551240,105,9
212,Male,50+,Indoors,Contractor,Fall,10936677,40,9
213,Male,30-50,Outdoors,Professor,Fall,2499376,85,10
214,Female,18-30,Indoors,Student,Spring,1138151,150,10
215,Male,50+,Outdoors,Contractor,Spring,1369450,300,10
216,Female,18-30,Indoors,Student,Summer,1989884,550,10
217,Female,18-30,Indoors,Student,Fall,4020302,250,10
218,Female,50+,Indoors,Contractor,Summer,3298068,138,9
219,Male,30-50,Outdoors,Professor,Winter,1450274,392,9
220,Male,18-30,Indoors,Student,Spring,5228935,225,9
221,Female,18-30,Outdoors,Student,Fall,1753382,159,10
222,Male,30-50,Indoors,Professor,Spring,7060208,275,
223,Female,18-30,Indoors,Student,Spring,3346581,37,9
224,Female,50+,Indoors,Contractor,Summer,2404190,60,9
225,Female,30-50,Indoors,Professor,Summer,192499,35,10
226,Male,30-50,Outdoors,Professor,Spring,3439486,45,8
227,Female,18-30,Indoors,Student,Winter,1034433,50,10
228,Male,30-50,Indoors,Professor,Fall,5110651,282,
229,Female,50+,Indoors,Contractor,Fall,1073990,50,8
230,Male,30-50,Outdoors,Professor,Fall,1323225,279,10
231,Female,18-30,Indoors,Student,Spring,1477756,115,9
232,Male,30-50,Outdoors,Professor,Fall,1327341,325,9
233,Female,30-50,Outdoors,Professor,Winter,1214839,240,9
234,Female,50+,Indoors,Contractor,Fall,115087,100,9
235,Male,18-30,Outdoors,Student,Spring,1701332,120,9
236,Male,50+,Indoors,Contractor,Spring,13433487,80,
237,Male,30-50,Indoors,Professor,Winter,10085052,79,10
238,Male,50+,Indoors,Contractor,Fall,1014634,80,
239,Male,18-30,Outdoors,Student,Spring,10036320,430,
240,Male,50+,Indoors,Contractor,Summer,1039540,100,10
241,Female,50+,Indoors,Contractor,Winter,1039388,110,10
242,Female,18-30,Outdoors,Student,Spring,11848384,25,10
243,Male,18-30,Outdoors,Student,Summer,10995958,78,
244,Male,18-30,Outdoors,Student,Spring,10206186,270,10
245,Female,18-30,Outdoors,Student,Spring,10730279,30,10
246,Female,50+,Indoors,Contractor,Winter,11582984,25,
247,Male,50+,Outdoors,Contractor,Spring,10389111,80,
248,Male,18-30,Outdoors,Student,Winter,11973001,65,
249,Male,30-50,Outdoors,Professor,Fall,6506343,45,10
250,Male,18-30,Indoors,Student,Spring,11642937,90,10
251,Female,18-30,Indoors,Student,Spring,3414629,90,
252,Male,50+,Indoors,Contractor,Summer,10986404,100,
253,Female,18-30,Indoors,Student,Winter,11049346,120,9
254,Male,18-30,Outdoors,Student,Fall,11571866,75,10
255,Female,30-50,Indoors,Professor,Summer,11570849,84,9
256,Male,50+,Outdoors,Contractor,Spring,11243234,18,10
257,Male,18-30,Indoors,Student,Fall,3107689,123,10
258,Female,18-30,Outdoors,Student,Summer,1145599,35,9
259,Female,18-30,Indoors,Student,Fall,1607202,75,10
260,Female,18-30,Indoors,Student,Summer,2738969,17,8
261,Male,30-50,Outdoors,Professor,Fall,1138151,150,10
262,Male,30-50,Outdoors,Professor,Summer,1707234,55,10
263,Female,18-30,Indoors,Student,Fall,163216,30,9
264,Male,18-30,Outdoors,Student,Fall,1329495,90,9
265,Female,18-30,Indoors,Student,Winter,1366683,110,9
266,Male,50+,Indoors,Contractor,Spring,5521358,425,10
267,Female,18-30,Outdoors,Student,Spring,3439486,45,8
268,Female,50+,Outdoors,Contractor,Spring,1034433,50,10
269,Female,18-30,Outdoors,Student,Spring,1163153,110,10
270,Male,18-30,Outdoors,Student,Fall,1293971,140,9
271,Male,50+,Indoors,Contractor,Fall,2275891,190,
272,Male,18-30,Outdoors,Student,Spring,3346581,37,9
273,Male,50+,Indoors,Contractor,Spring,2404190,60,9
274,Female,18-30,Indoors,Student,Winter,1073990,50,8
275,Female,30-50,Indoors,Professor,Summer,1982597,50,10
276,Male,18-30,Outdoors,Student,Spring,1523001,50,
277,Female,18-30,Outdoors,Student,Fall,3455699,53,10
278,Male,30-50,Indoors,Professor,Spring,1784125,59,10
279,Male,30-50,Indoors,Professor,Spring,4500294,40,10
280,Male,50+,Outdoors,Contractor,Summer,1324679,70,9
281,Female,18-30,Outdoors,Student,Summer,3486531,28,9
282,Female,30-50,Outdoors,Professor,Summer,1618557,120,10
283,Male,50+,Outdoors,Contractor,Winter,160381,62,9
284,Female,50+,Outdoors,Contractor,Winter,2174245,60,9
285,Male,30-50,Outdoors,Professor,Spring,3648305,75,10
286,Female,18-30,Outdoors,Student,Fall,4546014,79,
287,Female,18-30,Indoors,Student,Summer,2992244,70,10
288,Female,18-30,Outdoors,Student,Winter,176360,45,9
289,Male,50+,Indoors,Contractor,Summer,1647378,175,9
290,Female,50+,Outdoors,Contractor,Winter,10151174,48,10
291,Female,50+,Outdoors,Contractor,Spring,10085052,79,10
292,Male,18-30,Outdoors,Student,Summer,11983806,120,10
293,Male,30-50,Indoors,Professor,Fall,10036320,430,
294,Male,18-30,Outdoors,Student,Fall,1039388,110,10
295,Female,50+,Indoors,Contractor,Winter,11261688,40,
296,Male,30-50,Indoors,Professor,Spring,10995958,78,
297,Female,50+,Indoors,Contractor,Winter,10468518,40,8
298,Female,30-50,Indoors,Professor,Spring,10206186,270,10
299,Female,18-30,Indoors,Student,Spring,11582984,25,
300,Female,50+,Indoors,Contractor,Fall,10389111,80,
301,Female,30-50,Outdoors,Professor,Fall,11192534,118,
302,Female,18-30,Indoors,Student,Summer,11973001,65,
303,Male,18-30,Outdoors,Student,Fall,11642937,90,10
304,Female,18-30,Indoors,Student,Summer,1617477,77,9
305,Male,30-50,Indoors,Professor,Summer,10986404,100,
306,Female,50+,Outdoors,IT Professional,Spring,11049346,120,9
307,Male,50+,Indoors,IT Professional,Summer,12493524,400,
308,Female,30-50,Indoors,Professor,Spring,11571866,75,10
309,Female,18-30,Outdoors,Student,Winter,11570849,84,9
310,Male,30-50,Indoors,Professor,Spring,11243234,18,10
311,Male,50+,Indoors,IT Professional,Spring,1145599,35,9
312,Female,18-30,Indoors,Student,Fall,11699555,60,10
313,Female,30-50,Indoors,Professor,Fall,2499376,85,10
314,Male,30-50,Indoors,Professor,Winter,1103061,75,9
315,Male,30-50,Indoors,Professor,Fall,1904944,75,
316,Male,50+,Outdoors,IT Professional,Fall,106331,65,9
317,Female,30-50,Indoors,Professor,Spring,238274,153,9
318,Female,50+,Outdoors,IT Professional,Winter,302167,29,10
319,Female,50+,Indoors,IT Professional,Winter,1978075,90,10
320,Male,18-30,Indoors,Student,Summer,3439486,45,8
321,Male,50+,Indoors,IT Professional,Winter,254762,90,9
322,Male,50+,Indoors,IT Professional,Spring,1034433,50,10
323,Male,50+,Indoors,IT Professional,Summer,1643255,123,10
324,Male,18-30,Indoors,Student,Winter,33513,200,9
325,Female,30-50,Indoors,Professor,Spring,2172955,52,9
326,Female,50+,Indoors,IT Professional,Fall,1379902,300,9
327,Male,30-50,Outdoors,Professor,Summer,1675786,70,9
328,Female,30-50,Outdoors,Professor,Fall,3346581,37,9
329,Female,50+,Indoors,IT Professional,Summer,2404190,60,9
330,Male,18-30,Indoors,Student,Summer,1073990,50,8
331,Female,30-50,Indoors,Professor,Spring,3893805,40,9
332,Male,18-30,Outdoors,Student,Winter,102228,120,9
333,Male,30-50,Outdoors,Professor,Winter,1227978,90,9
334,Female,30-50,Outdoors,Professor,Spring,1114531,105,9
335,Male,50+,Indoors,IT Professional,Winter,4658675,44,10
336,Female,18-30,Outdoors,Student,Spring,1701332,120,9
337,Female,50+,Indoors,IT Professional,Spring,1112645,25,10
338,Male,50+,Indoors,IT Professional,Fall,10085052,79,10
339,Male,50+,Indoors,IT Professional,Summer,11983806,120,10
340,Male,50+,Indoors,IT Professional,Winter,10036320,430,
341,Female,18-30,Indoors,Student,Spring,1039388,110,10
342,Female,50+,Outdoors,IT Professional,Fall,11261688,40,
343,Female,30-50,Outdoors,Professor,Winter,10995958,78,
344,Female,18-30,Outdoors,Student,Spring,10468518,40,8
345,Male,18-30,Outdoors,Student,Fall,10206186,270,10
346,Male,50+,Outdoors,IT Professional,Fall,11582984,25,
347,Female,30-50,Indoors,Professor,Fall,10389111,80,
348,Female,50+,Indoors,IT Professional,Summer,11192534,118,
349,Male,50+,Outdoors,IT Professional,Fall,11973001,65,
350,Female,18-30,Outdoors,Student,Spring,4565925,48,10
351,Female,50+,Outdoors,IT Professional,Summer,11642937,90,10
352,Female,50+,Outdoors,IT Professional,Fall,3414629,90,
353,Male,50+,Indoors,IT Professional,Fall,10986404,100,
354,Male,50+,Indoors,IT Professional,Winter,6133638,80,10
355,Female,50+,Outdoors,IT Professional,Fall,11571866,75,10
356,Female,50+,Outdoors,IT Professional,Spring,11570849,84,9
357,Male,30-50,Indoors,Professor,Summer,11243234,18,10
358,Male,30-50,Outdoors,Professor,Summer,1145599,35,9
359,Male,50+,Indoors,IT Professional,Fall,11699555,60,10
360,Male,18-30,Outdoors,Student,Summer,2738969,17,8
361,Male,50+,Outdoors,IT Professional,Fall,1138151,150,10
362,Male,30-50,Indoors,Professor,Spring,3378411,195,10
363,Female,30-50,Indoors,Professor,Winter,2437142,167,9
364,Male,50+,Indoors,IT Professional,Spring,1632187,143,9
365,Female,30-50,Indoors,Professor,Fall,11801967,349,10
366,Male,30-50,Indoors,Professor,Fall,10414699,225,10
367,Female,30-50,Indoors,Professor,Spring,10059235,750,9
368,Male,50+,Outdoors,IT Professional,Summer,11828332,175,
369,Male,18-30,Indoors,Student,Summer,1102061,66,9
370,Female,18-30,Indoors,Student,Summer,4091388,89,9
371,Female,18-30,Outdoors,Student,Fall,4740924,132,7
372,Male,18-30,Outdoors,Student,Winter,3332725,65,9
373,Male,18-30,Outdoors,Student,Winter,1176341,79,10
374,Male,50+,Indoors,IT Professional,Spring,4481723,225,
375,Male,30-50,Indoors,Professor,Fall,245781,225,9
376,Male,30-50,Outdoors,Professor,Fall,1398797,305,9
377,Female,30-50,Indoors,Professor,Fall,2029340,79,9
378,Male,30-50,Indoors,Professor,Spring,11801967,349,10
379,Male,50+,Outdoors,IT Professional,Spring,10414699,225,10
380,Male,30-50,Indoors,Professor,Spring,10059235,750,9
381,Male,18-30,Indoors,Student,Spring,11828332,175,
382,Female,50+,Outdoors,IT Professional,Fall,11433316,500,10
383,Male,50+,Outdoors,IT Professional,Summer,1138151,150,10
384,Male,50+,Outdoors,IT Professional,Fall,5856064,140,9
385,Male,30-50,Outdoors,Professor,Spring,1295565,154,8
386,Female,18-30,Outdoors,Student,Summer,1092125,145,9
387,Male,18-30,Outdoors,Student,Winter,10151174,48,10
388,Female,30-50,Indoors,Professor,Summer,10085052,79,10
389,Male,30-50,Outdoors,Professor,Summer,10036320,430,
390,Male,50+,Indoors,IT Professional,Summer,11655248,39,
391,Female,18-30,Indoors,Student,Fall,1039388,110,10
392,Female,18-30,Indoors,Student,Spring,11261688,40,
393,Female,30-50,Indoors,Professor,Summer,10995958,78,
394,Female,30-50,Indoors,Professor,Spring,10206186,270,10
395,Male,30-50,Indoors,Professor,Spring,10730279,30,10
396,Female,18-30,Indoors,Student,Fall,11582984,25,
397,Female,30-50,Outdoors,Professor,Winter,10389111,80,
398,Female,18-30,Outdoors,Student,Summer,11973001,65,
399,Male,50+,Indoors,IT Professional,Fall,6992252,40,10
400,Male,18-30,Indoors,Student,Summer,11642937,90,10
401,Female,18-30,Outdoors,Student,Fall,1617477,77,9
402,Female,50+,Outdoors,Professor,Spring,10986404,100,
403,Female,50+,Outdoors,Professor,Spring,11049346,120,9
404,Male,30-50,Outdoors,Contractor,Spring,12493524,400,
405,Male,30-50,Indoors,Contractor,Fall,11570849,84,9
406,Male,30-50,Indoors,Contractor,Summer,11243234,18,10
407,Female,50+,Indoors,Professor,Fall,3042436,64,10
408,Male,50+,Outdoors,Professor,Fall,1145599,35,9
409,Male,18-30,Indoors,Student,Spring,2499376,85,10
410,Female,18-30,Outdoors,Student,Summer,2738969,17,8
411,Female,50+,Outdoors,Professor,Fall,1138151,150,10
412,Male,50+,Indoors,Professor,Spring,1244835,215,10
413,Male,18-30,Indoors,Student,Summer,1862589,220,
414,Female,30-50,Indoors,Contractor,Fall,2193147,800,9
415,Female,30-50,Outdoors,Contractor,Spring,11801967,349,10
416,Female,30-50,Indoors,Contractor,Fall,10414699,225,10
417,Male,30-50,Outdoors,Contractor,Fall,10059235,750,9
418,Male,30-50,Outdoors,Contractor,Fall,11828332,175,
419,Male,30-50,Outdoors,Contractor,Spring,11433316,500,10
420,Female,30-50,Outdoors,Contractor,Spring,1034433,50,10
421,Male,18-30,Outdoors,Student,Winter,1751055,280,7
422,Male,30-50,Outdoors,Contractor,Spring,1369450,300,10
423,Female,30-50,Outdoors,Contractor,Fall,1989884,550,10
424,Female,18-30,Outdoors,Student,Spring,5396698,18,10
425,Female,50+,Indoors,Professor,Summer,4807394,95,8
426,Male,30-50,Outdoors,Contractor,Summer,4020302,250,10
427,Female,18-30,Indoors,Student,Summer,3298068,138,9
428,Female,30-50,Outdoors,Contractor,Winter,10133399,55,8
429,Male,50+,Outdoors,Professor,Fall,10151174,48,10
430,Male,50+,Outdoors,Professor,Fall,10085052,79,10
431,Female,18-30,Indoors,Student,Spring,10036320,430,
432,Male,50+,Indoors,Professor,Spring,11655248,39,
433,Female,30-50,Outdoors,Contractor,Summer,1039388,110,10
434,Female,30-50,Outdoors,Contractor,Spring,11261688,40,
435,Female,18-30,Indoors,Student,Winter,10995958,78,
436,Female,18-30,Outdoors,Student,Fall,10206186,270,10
437,Female,50+,Outdoors,Professor,Winter,10730279,30,10
438,Female,18-30,Indoors,Student,Winter,11582984,25,
439,Female,50+,Outdoors,Professor,Fall,10389111,80,
440,Male,50+,Outdoors,Professor,Summer,11973001,65,
441,Male,18-30,Outdoors,Student,Fall,6992252,40,10
442,Female,18-30,Indoors,Student,Fall,11642937,90,10
443,Male,50+,Indoors,Professor,Winter,1617477,77,9
444,Male,50+,Indoors,Professor,Winter,10986404,100,
445,Female,18-30,Outdoors,Student,Fall,11049346,120,9
446,Female,18-30,Outdoors,Student,Fall,12493524,400,
447,Male,18-30,Outdoors,Student,Winter,11570849,84,9
448,Male,50+,Outdoors,Professor,Spring,11243234,18,10
449,Female,50+,Indoors,Professor,Summer,3042436,64,10
450,Female,50+,Indoors,Professor,Summer,1145599,35,9
451,Male,50+,Outdoors,Professor,Fall,2444911,100,9
452,Male,18-30,Outdoors,Student,Fall,5396698,18,10
453,Female,18-30,Outdoors,Student,Summer,6092667,80,10
454,Male,50+,Outdoors,Professor,Fall,1450274,392,9
455,Female,18-30,Outdoors,Student,Spring,3346581,37,9
456,Female,18-30,Indoors,Student,Summer,2404190,60,9
457,Male,30-50,Indoors,Contractor,Winter,192499,35,10
458,Male,30-50,Indoors,Contractor,Spring,1073990,50,8
459,Female,30-50,Indoors,Contractor,Spring,1701332,120,9
460,Female,18-30,Outdoors,Student,Fall,4423099,60,10
461,Male,18-30,Outdoors,Student,Spring,10133399,55,8
